watershed_group_code,ch_n,ch90_n,ch_latest,co_n,co90_n,co_latest,sk_n,sk90_n,sk_latest,st_n,st90_n,st_latest,ch_range,co_range,sk_range,st_range,obs_gt5_ind,mackenzie_ind,barrier_ind
MPRO,0,0,,0,0,,0,0,,0,0,,,,,,,t,
MSKE,49,16,2002-03-01,61,15,2002-03-01,41,9,2002-03-01,43,12,2001-03-01,{Core},{Core},{Core},{Core},t,,
MSTR,0,0,,0,0,,0,0,,1,0,1967-01-01,{Core},{Core},{Core},{Core},,,
MURR,0,0,,0,0,,0,0,,0,0,,,,,,,t,
MURT,0,0,,0,0,,0,0,,0,0,,{Core},{Core},{Core},{Core},,,
MUSK,2,2,1993-01-01,0,0,,0,0,,0,0,,{Core},{Core},{Core},{Core},,,
NAHR,43,7,1995-01-01,36,4,1995-01-01,7,1,1995-01-01,2,2,1995-01-01,{Core},{Core},{Core},{Core},t,,
NAKR,23,14,2011-10-12,17,6,2008-10-06,34,10,2008-10-06,0,0,,{Core},{Core},{Core},{Core},t,,
NARC,26,25,2015-08-15,1,1,1997-01-01,0,0,,0,0,,{Core},{Core},{Core},{Core},t,,
NASC,5,4,2018-02-25,121,68,2010-08-28,32,7,1995-01-01,8,5,1995-01-01,{Core},{Core},{Core},{Core},t,,
NASR,26,12,2000-10-05,40,14,2000-09-29,26,5,2001-01-01,81,22,2000-01-01,{Core},{Core},{Core},{Core},t,,
NATR,0,0,,0,0,,0,0,,0,0,,,,,,,t,Site C Dam
NAZR,32,31,1998-10-01,0,0,,0,0,,0,0,,{Core},{Core},{Core},{Core},t,,
NBNK,0,0,,6,0,1982-01-01,3,0,1982-01-01,0,0,,{Core},{Core},{Core},{Core},t,,
NECL,2,2,2004-01-01,102,60,2010-08-30,33,14,2010-08-07,2,1,1997-11-01,{Core},{Core},{Core},{Core},t,,
NECR,297,288,2017-07-19,4,1,2010-07-15,10,9,2010-07-15,0,0,,{Core},{Core},{Core},{Core},t,,
NEVI,2,0,1979-03-27,102,74,2015-09-15,20,11,1996-08-21,228,129,2018-05-16,{Core},{Core},{Core},{Core},t,,
NICL,8,8,2004-01-01,6,6,1998-01-01,0,0,,1,0,1956-08-02,{Core},{Core},{Core},{Core},t,,
