watershed_group_code,length_km_total,length_km_accessible15,length_km_accessible15_structureless,length_km_accessible20,length_km_accessible20_structureless,length_km_accessible30,length_km_accessible30_structureless,stream_km_accessible15,stream_km_accessible15_structureless,stream_km_accessible20,stream_km_accessible20_structureless,stream_km_accessible30,stream_km_accessible30_structureless,lake_reservoir_area_ha_total,lake_reservoir_area_ha_accessible15,lake_reservoir_area_ha_accessible15_structureless,lake_reservoir_area_ha_accessible20,lake_reservoir_area_ha_accessible20_structureless,lake_reservoir_area_ha_accessible30,lake_reservoir_area_ha_accessible30_structureless,wetland_area_ha_total,wetland_area_ha_accessible15,wetland_area_ha_accessible15_structureless,wetland_area_ha_accessible20,wetland_area_ha_accessible20_structureless,wetland_area_ha_accessible30,wetland_area_ha_accessible30_structureless,n_pscis_all,n_pscis_gt2010,n_pscis_gt2010_accessible_15,n_pscis_gt2010_accessible_20,n_pscis_gt2010_accessible_30,n_modelled_culverts_total,n_modelled_culverts_accessible15,n_modelled_culverts_accessible20,n_modelled_culverts_accessible30
KSHR,8871.4,523.2,491.2,730.1,687.4,1290.3,1099.8,546.7,517.3,732.1,692.1,1218.0,1075.9,1929.6,249.0,247.6,395.0,393.4,839.5,504.0,856.6,346.6,344.1,368.4,365.9,476.1,413.9,,,,,,200,54,69,102
KTSU,2631.6,1826.7,1826.7,2049.6,2049.6,2233.0,2226.8,1289.4,1289.4,1463.3,1463.3,1621.7,1616.1,4081.6,3142.6,3142.6,3369.4,3369.4,3527.7,3525.8,116.6,73.2,73.2,76.6,76.6,81.8,81.8,,,,,,13,0,0,6
KUMR,7913.2,2322.4,2311.0,2954.2,2906.3,3957.4,3875.1,1225.1,1215.6,1739.2,1704.9,2648.2,2582.1,18460.2,12781.0,12748.0,14131.7,13826.8,15088.9,14762.6,821.3,380.0,374.8,449.0,440.3,496.0,484.4,,,,,,223,32,87,134
LARL,12260.1,303.6,135.2,500.3,147.9,970.2,164.9,414.2,260.4,606.0,272.8,1054.4,289.6,21821.1,39.5,5.2,47.4,5.3,108.1,5.4,1170.8,210.1,113.7,241.9,116.8,388.4,116.8,414,245,15,24,64,8112,199,413,905
LBIR,8190.5,1105.2,919.8,1474.7,1151.4,2225.2,1655.2,885.4,735.0,1231.7,950.1,1941.5,1424.2,4523.4,4220.5,4191.7,4273.5,4222.9,4326.4,4258.6,2427.9,1830.3,1482.5,1998.6,1626.7,2116.6,1681.9,1,0,0,0,0,597,149,245,403
LCHL,5775.1,4703.4,619.4,5042.9,654.7,5340.2,702.7,3815.3,556.3,4134.2,586.9,4410.5,630.2,6111.5,5110.3,439.3,5159.6,444.5,5211.3,457.2,8671.8,6862.0,612.2,6980.6,646.2,7133.3,672.2,1,1,1,1,1,4651,3655,4054,4345
LCHR,6554.6,1042.2,317.8,1232.6,371.2,2521.1,482.8,788.4,292.9,960.4,344.7,1912.5,454.3,11668.6,830.8,26.4,888.8,26.4,3018.8,225.5,18992.8,3692.8,653.5,3893.5,661.0,7938.5,661.0,7,7,5,5,7,3281,528,692,1365
LDEN,8107.7,990.2,859.5,3319.0,3111.0,4475.5,4245.4,818.8,728.2,2443.0,2294.2,3452.5,3282.4,10978.6,1034.0,969.8,8365.2,8078.1,9538.7,9251.2,10656.2,2418.0,1769.5,7394.0,6502.4,7921.5,7023.3,,,,,,171,83,106,130
LFRA,8506.7,2413.0,866.1,2547.1,890.9,2810.7,972.6,2248.0,854.3,2378.5,878.6,2627.6,953.5,18120.6,7204.8,5677.7,7229.7,5677.7,7455.0,5828.7,4907.3,2419.4,905.0,2421.6,905.0,2435.8,905.0,467,467,263,291,331,4672,2499,2643,2855
LILL,12181.3,801.3,664.7,1032.9,823.2,1694.5,1108.6,859.2,739.7,1057.2,877.4,1638.8,1110.9,7139.0,4282.5,4255.7,4310.0,4283.2,4721.6,4301.8,2281.2,752.5,411.8,763.6,422.7,911.1,490.0,196,196,109,125,165,2836,280,401,842
