watershed_group_code,dci_15,dci_20,dci_30
MESC,0.9637050746922254,0.9613758921950517,0.9591588558529469
MFRA,0.21835367813024215,0.13867177677338174,0.05670830008980024
MIDR,0.2248405574388298,0.2039467724249276,0.1885157633577719
MORI,0.4234201800706557,0.4384243071705309,0.44770173661180424
MORK,0.17786466201324605,0.17156226751479475,0.13833160290152305
MORR,0.5242674715391681,0.4781262763606848,0.4660162193898253
MSKE,0.9205759159128,0.8859122720009276,0.8645165490138017
MSTR,0.5817254158889231,0.556703404413532,0.5711404204766019
MURT,1,1,1
MUSK,0.11675054352136006,0.11532227241189573,0.11537696890781313
NAHR,1,1,1
NAKR,0.9978927065726118,0.9844040198212168,0.9839370126498684
NARC,0.01353092380489429,0.01091030873988838,0.008922852385202084
NASC,0.6308976087472056,0.6966498343690987,0.6088505902489655
NASR,0.3362323893559278,0.2779690097047613,0.26469908404498677
NAZR,0.05390065589375682,0.08151220350666963,0.07677640431800857
NBNK,1,1,1
NECL,0.9473216454029484,0.9236052867640359,0.8534614880334841
NECR,0.036965832812325794,0.04111198313077573,0.04094265462404479
NEVI,0.24564729371048977,0.2151276412098143,0.19987837415446327
NICL,0.020717454475097277,0.012548371325086082,0.007379281437690162
NIEL,0.8113435132701939,0.786227624506067,0.6659336246640671
NIMP,0.22424157428674765,0.1917678956274635,0.14804756855145962
OKAN,0.18323787854210588,0.09626922444356614,0.03127693177922706
OWIK,0.7587474545069283,0.7171660294613931,0.6070503733369063
PARK,0.049248002692736915,0.04066367303862524,0.027380802892879808
PORI,0.8632043521303511,0.8645156511659734,0.8374692363243114
QUES,0.32750267900974034,0.2948891723985149,0.25954762858182273
REVL,0.43486970716144596,0.3640650642033665,0.2705614514869867
SAJR,0.007047546958703911,0.005874480319949072,0.005452699781809293
SALM,0.2019796358699489,0.15692839091530295,0.11666392798897822
SALR,0.1939739004757803,0.19138320212023893,0.19142693843847647
SANJ,0.3546234532013989,0.28762691498700577,0.19432415122322216
SETN,0.2556089477205066,0.22098232615818092,0.1451142009231552
SEYM,0.4234214222481741,0.4320091095058648,0.39954289411459404
SHER,0.999840354962356,0.9954927708619494,0.9912641453644244
SHUL,0.5246816498233802,0.419042248284758,0.27799163274966465
SKGT,0.4529413841155454,0.3670793917320465,0.30058132746254534
SLOC,0.18115523056230876,0.19849226987247343,0.13058608011523193
SMAR,0.1906340564288049,0.15375059656846543,0.13591033087142823
SQAM,0.5743790375520029,0.5390055636357075,0.3980944584110257
STHM,0.07209366463222384,0.04581236147624299,0.015333754727564947
STIR,0.9404347513343911,0.728050809717736,0.6477400352219925
STUL,0.15723673842388322,0.14903605906511594,0.14223500272310952
STUR,0.055827243471273366,0.05382939871217677,0.056888170256809235
SUST,0.7360915459529593,0.6986003242651407,0.6852736732658322
SWIR,0.8413884476524675,0.8321965032927787,0.8291169880687292
TABR,0.05403941129429974,0.04261948010472909,0.041798376255934654
TAHR,0.9955253759828857,0.9904823386222703,0.9879117850103188
TAHS,0.4669540134498265,0.3687704289738041,0.28018730172603534
TAKL,0.2965445909086715,0.25574441918426477,0.23897498136439455
TASR,0.25804615858776975,0.23007557655752123,0.24569239638555063
TATR,0.8932737468130996,0.8860990327219765,0.8692614399997877
TAYR,0.9923138966369897,0.9911141670967788,0.9859658046352631
TESR,0.9357413403291202,0.9399717390146379,0.9430578561378355
THOM,0.6783516706936903,0.15588654500163426,0.04772629952562491
TOBA,0.6772483257293219,0.6095285536672329,0.4016213448829343
TSAY,0.8769869655634067,0.83201723355673,0.7289756091495538
TSIT,0.3078222221942139,0.17716821420385748,0.11602453109094285
TUTR,0.7405708730869471,0.6795029747985959,0.6668723205923104
TWAC,0.019292547014408683,0.0200770459243255,0.013486390553365613
UARL,0.61064613121412,0.4571493151265075,0.2805140991109529
UBIR,0.7780734356191109,0.7978321703672288,0.8254116657068741
UCHR,0.17437986450077023,0.17795744455997828,0.17509408416326064
UFRA,0.4663710004510668,0.4088683584651647,0.3845968259219337
UJER,1,1,1
UNAR,1,1,1
UNRS,1,1,1
UNTH,0.5111255649533178,0.382087974597154,0.19146168763859658
UNUR,1,1,0.8102041244683894
USHU,0.15350396016158988,0.08536426256188165,0.04903458057781043
USKE,0.88888435928995,0.8618744106190185,0.8324840944827334
USTK,0.9948766829280901,0.9972037095374242,0.9966429556336349
UTRE,0.2939894111318761,0.258779421622049,0.16257693413611804
VICT,0.015069851669984018,0.013794873370073912,0.012697065957488348
WILL,0.0975818602933947,0.08527078633575348,0.07424350081042885
WORC,0.6877918704809014,0.7079363710830712,0.6940904566294426
ZYMO,0.6624258561127737,0.6019295953323124,0.5452201933830433
