watershed_group_code,ch_n,ch_latest,co_n,co_latest,sk_n,sk_latest,st_n,st_latest,ch_range,co_range,sk_range,st_range,obs_gt5_ind,mackenzie_ind,barrier_ind,manual_review_ind,remarks_br,consider_wsg
SETN,173,2016-04-13,242,2016-04-13,102,2016-04-14,187,2015-11-16,{Core},{Core},{Core},{Core},t,,,,,t
SEYM,6,1995-01-01,80,2016-03-01,2,1995-01-01,12,1999-01-01,{Core},{Core},{Core},{Core},t,,,,,t
SHEK,0,,0,,0,,0,,,,,,,t,,,,f
SHER,9,1998-03-01,2,1994-01-01,14,1998-03-01,10,1996-01-01,{Core},{Core},{Core},{Core},t,,,,,t
SHUL,86,2016-08-11,86,2014-08-20,131,2012-06-20,3,1997-01-01,{Core},{Core},{Core},{Core},t,,,,,t
SIML,0,,0,,0,,0,,,,,,,,,,,f
SKGT,0,,0,,0,,0,,{Core},{Core},{Core},{Core},,,,,,f
SLOC,0,,0,,0,,0,,,,,,,,Chief Joseph Dam,,,f
SMAR,0,,0,,0,,0,,,,,,,,Chief Joseph Dam,,,f
SMOK,0,,0,,0,,0,,,,,,,t,,,,f
SPAT,0,,0,,0,,0,,,,,,,,,,,f
SQAM,137,2018-11-06,1659,2019-08-12,15,2015-04-01,805,2080-03-01,{Core},{Core},{Core},{Core},t,,,,,t
STHM,22,2016-07-27,15,2016-11-23,6,2000-01-01,1,1998-01-01,{Core},{Core},{Core},{Core},t,,,,,t
STIR,6,9999-10-01,6,2007-06-13,7,2018-09-15,1,1991-01-01,{Core},{Core},{Core},{Core},t,,,,,t
STUL,5,1995-01-01,1,1997-09-05,11,2001-01-01,0,,{Core},{Core},{Core},{Core},t,,,,,t
STUR,26,2000-01-01,1,2004-01-01,17,2000-01-01,0,,{Core},{Core},{Core},{Core},t,,,,,t
SUST,34,2009-08-20,28,2007-08-29,9,2001-01-01,22,1999-09-01,{Core},{Core},{Core},{Core},t,,Falls 16378,,,f
SWIR,2,2011-08-24,0,,0,,0,,{Core},,,,,,,,,f
TABR,51,2017-10-01,0,,0,,0,,{Core},{Core},{Core},{Core},t,,,,,t
TAHR,1,2003-01-01,0,,65,2014-12-09,11,2000-01-01,{Core},{Core},{Core},{Core},t,,,,,t
TAHS,27,2011-10-06,106,2018-08-14,35,2011-09-30,32,2011-10-02,{Core},{Core},{Core},{Core},t,,,,,t
TAKL,1,1994-01-01,0,,24,1999-08-19,0,,{Core},{Core},{Core},{Core},,,,,,f
TASR,2,1996-04-01,0,,4,2001-01-01,2,1996-05-01,{Core},{Core},{Core},{Core},,,,,,f
TATR,5,9999-10-01,4,2017-08-29,6,1994-01-01,1,1994-01-01,{Core},{Core},{Core},{Core},t,,,,,t
TAYR,0,,0,,0,,0,,{Core},{Core},{Core},{Core},,,,,,f
TESR,14,2017-06-07,0,,0,,0,,{Core},,,,t,,,,,t
THOM,29,2011-10-26,20,2016-07-25,6,2000-01-01,33,2000-01-01,{Core},{Core},{Core},{Core},t,,,,,t
TOAD,0,,0,,0,,0,,,,,,,t,,,,f
TOBA,198,2016-05-26,352,2018-11-13,88,2016-05-14,51,2016-05-07,{Core},{Core},{Core},{Core},t,,,,,t
TOOD,0,,0,,0,,0,,,,,,,t,Site C Dam,,,f
TSAY,23,2016-03-09,127,2017-07-23,4,2015-06-20,14,2003-10-16,{Core},{Core},{Core},{Core},t,,,,,t
TSEA,0,,0,,0,,0,,,,,,,t,,,,f
TSIT,9,2016-09-24,251,2017-12-07,3,1994-01-01,58,2007-09-27,{Core},{Core},{Core},{Core},t,,,,,t
TURN,0,,0,,0,,0,,,,,,,t,,,,f
