watershed_group_code,dci_15,dci_20,dci_30
OKAN,0.1864988903407322,0.09894389028988337,0.03231131282021725
OWIK,0.5603227466062041,0.5711387579241186,0.4815752712745538
PARK,0.0492480026927381,0.04066367303862558,0.027380802892880158
PORI,0.863204352130351,0.8645156511659732,0.8374692363243119
QUES,0.33854079881109767,0.29795106838912694,0.26778701405774397
SAJR,0.007047546958703888,0.005874480319949039,0.005452699781809261
SALM,0.12775315353514322,0.10776105637690209,0.08370907719766071
SALR,0.15554258488024011,0.15317241256086472,0.15130159622786168
SANJ,0.22616092177261854,0.18358358273220096,0.12813301535108546
SETN,0.5361032986450797,0.46222202530938306,0.30203295087432935
SEYM,0.42342142224817375,0.43200910950586635,0.39954289411459326
SHER,0.999840354962356,0.9954927708619496,0.9912641453644244
SHUL,0.5648812592716866,0.430783006109328,0.2870903046871425
SKGT,0.45294138411554524,0.36707939173204557,0.3005813274625442
SQAM,0.279378382259275,0.26364003174954215,0.1964651985973242
STHM,0.07209366463222355,0.045812270751047365,0.015334159643735034
STIR,0.9404347513343913,0.7280508097177351,0.647740035221992
STUL,0.15663014482511148,0.14850407273560612,0.1417644081188065
STUR,0.05582721103905898,0.05382937068072534,0.056888143843787625
SUST,0.7360915459529594,0.6986003242651415,0.6852736732658329
SWIR,0.8413884476524672,0.8321965032927786,0.8291169880687296
TABR,0.0291039572211023,0.02269248341059067,0.02182807352815904
TAHR,0.9955253759828856,0.9904823386222693,0.9879117850103184
TAHS,0.4665854847725898,0.36850227306170064,0.278760150742594
TAKL,0.2972707928169345,0.2565990116365264,0.23897322881140914
TASR,0.2580461585877701,0.230075576557522,0.24569239638555118
TATR,0.8932737468130996,0.886099032721977,0.8692614399997893
TAYR,0.9923138966369888,0.9911141670967779,0.9859658046352626
TESR,0.9357413403291203,0.9399717390146382,0.9430578561378352
THOM,0.6823613272245725,0.15628996317587718,0.047786289558047805
TOBA,0.6772483257293217,0.6095285536672321,0.4016216712506504
TSAY,0.8769869655634064,0.8320172335567302,0.7289756091495536
TSIT,0.30782222219421485,0.17716821420385692,0.11602453109094292
TUTR,0.740570873086946,0.6795029747985954,0.666872320592312
TWAC,0.03298617671234939,0.029268277796088225,0.014462129326437357
UBIR,0.778073435619111,0.7978321703672288,0.825411665706875
UCHR,0.17437986450077017,0.17795744455997742,0.1750940841632613
UFRA,0.347559303571868,0.30041228457510005,0.3039943202265773
UJER,1,1,1
UNAR,1,1,1
UNRS,1,1,1
UNTH,0.511072655435529,0.38307063996619617,0.19205870127227775
UNUR,1,1,0.8102041244683896
USHU,0.3913672433718101,0.18743457107691436,0.07840190464346533
USKE,0.8888843592899509,0.8618744106190187,0.8324840944827329
USTK,0.9948766829280903,0.9972037095374243,0.9966429556336348
UTRE,0.293802971399597,0.2582853315401613,0.1639293841397803
VICT,0.01506985166998391,0.01379487337007386,0.012697065957488308
WILL,0.09992080961518714,0.08729337693970404,0.07599396069904178
WORC,0.6877918704809023,0.7079363710830714,0.6940904566294426
ZYMO,0.6587747645614914,0.6016259484529026,0.5492693727083967
